,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Phase,Phase,Phase,Phase
,afLeftThigh,afLeftKnee,afLeftAnkle,afLeftFoot,afRightThigh,afRightKnee,afRightAnkle,afRightFoot,pfWaist,pfLeftFemurHead,pfLeftKnee,pfLeftAnkle,pfRightFemurHead,pfRightKnee,pfRightAnkle,LeftArm,LeftHip,LeftKnee,LeftAnkle,LeftToe,RightArm,RightHip,RightKnee,RightAnkle,RightToe,RL - T4,RL - RunLab,LL - T4,LL - RunLab
34,1.86,1.88,6.86,15.07,7.51,0.9,3.74,0.89,4.23,0.15,2.91,4.66,6.02,1.96,9.59,50.03,134.01,93.25,88.03,11.26,23.91,164.87,137.53,68.1,1.68,Terminal Stance,Terminal Stance,Midswing,Midswing
35,2.04,0.53,12.82,12.98,7.84,0.6,0.03,1.3,3.73,0.66,2.85,0.1,6.2,1.81,6.62,50.73,,,,10.54,24.63,170.53,142.6,69.82,4.64,Terminal Stance,Terminal Stance,Midswing,Midswing
36,1.56,0.04,12.5,9.12,7.65,0.86,1.08,1.8,3.12,0.92,4.09,0.99,5.27,2.15,4.06,52.57,,,,12.84,24.02,174.49,146.5,71.71,6.34,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
37,1.02,0.7,10.44,4.78,8.53,2.01,0.89,6.04,3.38,1.3,4.73,2.97,5.92,0.58,2.49,52.61,,,,11.51,22.72,178.67,150.51,76.03,8.93,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
38,0.51,0.39,3.59,0.24,8.91,2.24,3.18,358.46,2.08,0.37,4.04,1.08,5.8,0.56,2.69,52.96,141.38,133.55,87.98,14.62,22.36,180.74,152.96,83.43,17.97,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
39,0.64,1.11,4.74,3.73,8.2,2.44,5.86,358.55,1.38,0.5,2.56,2.54,4.63,1.18,0.54,52.12,144.54,142.85,88.6,12.88,21.36,182.78,154.44,93.47,30.86,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
40,0.99,3.27,15.54,7.77,7.63,1.88,7.99,354.77,1.3,0.89,1.84,2.84,3.23,2.56,2.12,52.27,149.35,152.27,89.76,11.21,21.29,184.34,155.56,103.36,35.55,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
41,0.97,4.56,24.4,13.2,7.08,1.65,12.21,350.1,1.9,0.7,1.64,2.61,2.32,3.73,3.2,52.51,151.7,157.98,86.17,14.74,19.93,184.08,152.48,,,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
42,1.3,5.55,26.26,14.03,6.6,0.56,13.45,353.88,3.32,1.51,0.32,2.64,2.39,3.53,11.01,52.25,153.9,162.13,85.37,13.94,19.53,181.53,147,,,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
43,1.44,4.73,22.29,11.66,5.98,0.61,15.75,356.43,4.61,1.82,0.34,0.77,2.03,5.38,10.16,52.24,156.96,164.76,86.97,8.8,19.77,177.4,139.26,121.9,7.3,Toe Off,Toe Off,Terminal Swing,Terminal Swing
