,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Phase,Phase,Phase,Phase
,afLeftThigh,afLeftKnee,afLeftAnkle,afLeftFoot,afRightThigh,afRightKnee,afRightAnkle,afRightFoot,pfWaist,pfLeftFemurHead,pfLeftKnee,pfLeftAnkle,pfRightFemurHead,pfRightKnee,pfRightAnkle,LeftArm,LeftHip,LeftKnee,LeftAnkle,LeftToe,RightArm,RightHip,RightKnee,RightAnkle,RightToe,RL - T4,RL - RunLab,LL - T4,LL - RunLab
31,0.28,2.01,23,38.74,4.2,0.17,17.52,3.24,1.68,0.39,5.41,5.61,4.3,0.41,1.94,14.5,,,76.42,12.76,31.73,154.81,138.04,71.94,6.93,Loading Response,Loading Response,Midswing,Midswing
32,0.34,0.82,18.42,35.49,3.85,1.01,18.8,2.85,0.32,0.7,4.21,5.38,4.73,1.04,2.78,18.96,,,76.13,3.63,28.01,155.29,135.43,70.51,1.17,Loading Response,Loading Response,Midswing,Midswing
33,0.47,2.59,12.64,33.58,3.61,1.05,20.66,4.29,0.93,1.19,4.8,5.34,4.14,1.47,4.82,23.81,,,75.79,4.51,24.23,156.25,135.55,69.45,1.98,Loading Response,Loading Response,Midswing,Midswing
34,0.57,2.77,7.97,28.91,3.61,1.08,21.13,4.57,0.81,0.39,3.94,8.34,3.1,2.32,2.06,29.95,,,,,19.39,157.21,135.7,67.28,0.03,Midstance,Midstance,Midswing,Midswing
35,1.07,1.98,9.09,27.82,4.34,0.36,22.31,4.88,1.42,0.62,3.87,12.33,1.35,3.9,2.75,34.85,131.62,88.63,77.16,18.17,15.84,159.43,137.73,67.66,1.71,Terminal Stance,Terminal Stance,Midswing,Midswing
36,1.16,0.18,10.77,24.27,4.15,0.55,20.78,5.81,1.51,0.46,1.42,5.84,0.87,3.72,6.84,38.61,,,74.82,12.43,12.72,163.55,140.11,68.04,4.47,Terminal Stance,Terminal Stance,Midswing,Midswing
37,1.19,0.76,12.82,20.5,4.48,0.8,18.78,4.72,1.03,1.31,0.87,10.83,0.47,3.51,5.08,42.67,128.22,99.69,74.03,12.15,9.33,167.34,143.71,68.66,8.82,Terminal Stance,Terminal Stance,Midswing,Midswing
38,0.49,0.48,14.55,20.54,4.92,1.43,13.49,0.64,1.4,1.34,0.61,7.75,0.58,1.96,1.83,46.4,129.08,108.41,72.8,9.5,6.95,170.53,146.83,69.68,10.5,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
39,0.52,0.12,18.27,17.27,4.71,1.56,11.87,1.72,0.94,1.25,1.14,2.71,1.03,0.26,2.87,48.37,131.16,118.32,73.63,7.99,5.44,172.42,148.57,70.45,10.1,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
40,0.34,0.33,20.73,13.95,3.96,1.34,9.98,0.77,0.1,1.27,1.53,2.42,0.11,0.31,1.7,50.93,131.94,127.57,75.03,3.81,4.22,173.6,149.41,71.67,9.76,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
41,0.56,0.32,24.89,6.38,3.42,0.79,5.34,359.98,0.28,1.17,1.96,8.26,0.19,0.4,1.78,52.57,134.24,137.43,73.95,2.9,2.55,178.22,153.62,75.54,16.19,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
42,0.87,1.07,25.44,0.73,2.42,1.41,1.02,357.28,0.51,0.91,2.93,6.33,0.42,0.64,2.55,53.25,136.29,144.92,74.27,0.55,1.22,179.84,156.7,79.8,16.29,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
43,1.48,2.17,24.41,10.04,2.23,2.21,3.27,356.68,1.97,0.92,3.89,6.8,0.11,0.67,4.08,53.78,137.85,149.81,73.3,4.68,1.4,180.78,158.16,85.73,17.69,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
44,1.5,2.38,24.35,19.04,2.36,1.92,3.71,356.42,2.46,2.14,2.74,7.65,0.06,1.24,6.83,53.95,139.23,152.13,73.28,4.72,1.13,181.21,158.03,90.6,23.09,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
45,2.25,2.69,21.86,23.03,2.4,1.86,3.78,0.41,3.44,1.53,4.18,2.36,0.14,2.52,7.44,53.83,140.11,152.07,73.79,6.22,0.6,180.7,154.77,92.28,18.05,Terminal Stance,Terminal Stance,Terminal Swing,Terminal Swing
46,2.71,2.04,25.08,24.18,2.55,2.19,2.14,12.01,4.23,2.7,3.19,0.11,0.29,4.84,8.18,53.65,,,73.08,1.3,0.29,179.59,148.88,92.05,5.37,Toe Off,Toe Off,Initial Strike,Initial Strike
47,3.3,1.94,25.88,26.27,2.04,1.43,1.53,17.65,2.28,3.32,2.79,1.52,0.08,6.24,5.07,52.27,,,77.89,4.31,0.2,177.96,141.66,91.68,2.8,Initial Swing,Initial Swing,Loading Response,Loading Response
48,4.84,3.22,21.99,21.04,1.33,2.31,2.97,23.65,1.18,3.92,2.69,1.75,0.62,5.54,8.51,50.71,,,80.2,0.11,0.39,175.96,133.29,91.91,1.97,Initial Swing,Initial Swing,Loading Response,Loading Response
49,5.17,2.75,14.42,1.35,0.14,1.83,4.96,24.75,2.52,3.77,3.05,5.5,1.36,7.4,1.45,48.6,,,76.15,0.71,0.88,174.26,125.25,91.9,7.24,Initial Swing,Initial Swing,Loading Response,Loading Response
50,5.61,2.29,16.76,5.49,0.19,2.19,6.21,28.55,2.94,3.84,2.98,3.83,0.41,5.18,0.79,46,,,73.08,3.29,1.26,172.02,116.91,92.88,1.72,Initial Swing,Midswing,Loading Response,Loading Response
51,6.08,2.74,14.85,7.35,0.77,1.3,8.49,30.96,1.2,4.49,2.09,0.9,0.09,3.4,0.05,42.29,,,68.95,3.4,3.6,167.07,107.39,90.64,2.92,Midswing,Midswing,Loading Response,Loading Response
52,5.3,1.52,15.71,9.05,1.42,1.36,12.52,33.99,1.15,5.64,0.67,4.29,0.21,4.02,1.62,39.01,,,68.03,0.42,6.07,163.51,99.89,89.03,3.76,Midswing,Midswing,Loading Response,Loading Response
